api,tool,run,interactions,2XX,4XX,5XX,401,403,covered_operations,unique_5XX,branch_coverage,line_coverage,method_coverage,area_2XX,area_4XX,area_5XX,area_401,area_403,area_covered_operations,area_unique_5XX,area_branch_coverage,area_line_coverage,area_method_coverage
blog,resttestgen,run-20240531-151521,25900,1741,13202,10957,-,-,21,9,0.038316582914572864,0.4604377104377104,0.40341655716162944,193132,1713576,1460292,-,-,5071,2079,9.27575376884422,114.58333333333395,100.91064388961912
ncs,arat-rl,run-20240531-205518,22000,10449,11551,0,-,-,6,0,0.875,0.9309090909090909,0.8620689655172413,1120278,1310722,0,-,-,1303,0,182.53571428571422,196.09454545454628,185.89655172413742
restcountries,restler,run-20240605-133748,16300,929,15348,23,-,-,3,1,0.6454545454545455,0.6795580110497238,0.8352272727272727,81384,1253527,1689,-,-,483,155,101.21363636363621,107.24125230202553,132.71022727272685
market,restler,run-20240604-221500,20100,9635,1268,9197,-,-,9,10,0.017716535433070866,0.2665457842248413,0.34459459459459457,635587,158285,1236228,-,-,1607,1884,3.4015748031496007,50.49274705349037,64.39594594594605
blog,deeprest-e20-s20,run-20240531-191156,25900,5352,12699,7849,-,-,24,12,0.04522613065326633,0.5134680134680135,0.44021024967148487,767537,1624733,974730,-,-,5675,2973,11.065954773869304,126.16919191919195,109.01051248357398
blog,restler,run-20240606-054623,25900,1272,21896,2732,-,-,14,8,0.038944723618090454,0.4116161616161616,0.37056504599211565,135168,2764213,467619,-,-,2118,1989,8.39133165829147,92.06228956228938,79.0354796320633
genome-nexus,morest,run-20240603-143438,3900,168,3028,704,-,-,12,1,0.12561750176429076,0.2506727385634444,0.23798494499131442,5505,58697,13798,-,-,346,39,4.5074100211714905,9.09604636721176,8.269253039953677
scs,resttestgen,run-20240601-121127,21000,17963,3037,0,-,-,11,0,0.38492063492063494,0.6169491525423729,0.717948717948718,1907930,307570,0,-,-,2303,0,78.4206349206348,128.85084745762742,150.30769230769235
ncs,restler,run-20240604-220903,22000,16637,5363,0,-,-,6,0,0.6607142857142857,0.7381818181818182,0.7931034482758621,1564936,866064,0,-,-,1287,0,141.30952380952417,159.0,171.2068965517244
ncs,morest,run-20240604-202837,22000,8196,13804,0,-,-,6,0,0.7083333333333334,0.8545454545454545,0.8620689655172413,1009465,1421535,0,-,-,1292,0,144.76785714285776,166.69454545454522,174.20689655172401
genome-nexus,deeprest-e20-s20,run-20240601-115026,3900,2972,928,0,-,-,23,0,0.33098094565984476,0.41771889877872076,0.3665315576143602,58778,19222,0,-,-,842,0,9.933662667607619,13.972262471537993,12.403590040532716
person-controller,schemathesis,run-20240603-160213,17900,5487,4937,7476,-,-,6,9,0.0,0.6815642458100558,0.7634408602150538,496477,437252,677271,-,-,1050,1568,0.0,121.03910614525111,135.21505376344095
market,deeprest-e20-s20,run-20240531-201023,20100,14128,4767,1205,-,-,12,16,0.047244094488188976,0.3023572076155938,0.37432432432432433,1404893,492854,132353,-,-,2292,2894,9.108267716535424,57.86174070716215,70.106756756757
ncs,arat-rl,run-20240531-155503,22000,10592,11408,0,-,-,6,0,0.8809523809523809,0.9309090909090909,0.8620689655172413,1168406,1262594,0,-,-,1315,0,184.73809523809553,198.36000000000007,187.58620689655123
